,date,CPI,Inflation Rate (%)
48,1999-01-01,91.8,
49,1999-02-01,91.8,
50,1999-03-01,92.0,
51,1999-04-01,92.5,
52,1999-05-01,92.6,
53,1999-06-01,92.6,
54,1999-07-01,92.8,
55,1999-08-01,93.2,
56,1999-09-01,93.5,
57,1999-10-01,93.6,
58,1999-11-01,93.7,
59,1999-12-01,94.0,
60,2000-01-01,94.0,2.3965141612200425
61,2000-02-01,94.3,2.7233115468409563
62,2000-03-01,94.8,3.04347826086957
63,2000-04-01,94.4,2.0540540540540553
64,2000-05-01,94.7,2.2678185745140578
65,2000-06-01,95.3,2.9157667386609187
66,2000-07-01,95.6,3.0172413793103425
67,2000-08-01,95.5,2.467811158798283
68,2000-09-01,95.9,2.566844919786093
69,2000-10-01,96.3,2.8846153846153966
70,2000-11-01,96.8,3.3084311632870733
71,2000-12-01,97.0,3.1914893617021267
72,2001-01-01,96.8,2.9787234042553123
73,2001-02-01,96.9,2.757158006362692
74,2001-03-01,97.1,2.4261603375527407
75,2001-04-01,97.8,3.601694915254239
76,2001-05-01,98.4,3.9070749736008548
77,2001-06-01,98.4,3.2528856243441817
78,2001-07-01,98.1,2.6150627615062705
79,2001-08-01,98.2,2.8272251308900653
80,2001-09-01,98.4,2.6068821689259725
81,2001-10-01,98.1,1.869158878504673
82,2001-11-01,97.4,0.6198347107438051
83,2001-12-01,97.7,0.7216494845360799
84,2002-01-01,98.1,1.342975206611574
85,2002-02-01,98.4,1.5479876160990669
86,2002-03-01,98.8,1.750772399588052
87,2002-04-01,99.5,1.7382413087934534
88,2002-05-01,99.4,1.0162601626016343
89,2002-06-01,99.6,1.21951219512193
90,2002-07-01,100.3,2.2426095820591296
91,2002-08-01,100.7,2.5458248472504996
92,2002-09-01,100.8,2.4390243902439046
93,2002-10-01,101.3,3.2619775739041845
94,2002-11-01,101.6,4.312114989733051
95,2002-12-01,101.5,3.8894575230296713
96,2003-01-01,102.4,4.383282364933749
97,2003-02-01,102.9,4.57317073170731
98,2003-03-01,103.0,4.251012145748989
99,2003-04-01,102.3,2.8140703517588017
100,2003-05-01,102.1,2.716297786720312
101,2003-06-01,102.3,2.7108433734939874
102,2003-07-01,102.5,2.193419740777669
103,2003-08-01,102.8,2.0854021847070525
104,2003-09-01,103.0,2.182539682539675
105,2003-10-01,102.9,1.5794669299111552
106,2003-11-01,103.1,1.476377952755903
107,2003-12-01,103.6,2.0689655172413834
108,2004-01-01,103.7,1.26953125
109,2004-02-01,103.7,0.7774538386783325
110,2004-03-01,103.7,0.6796116504854455
111,2004-04-01,104.0,1.6617790811339184
112,2004-05-01,104.7,2.5465230166503483
113,2004-06-01,104.8,2.4437927663734094
114,2004-07-01,104.8,2.2439024390243922
115,2004-08-01,104.7,1.8482490272373697
116,2004-09-01,104.8,1.747572815533971
117,2004-10-01,105.2,2.235179786200181
118,2004-11-01,105.7,2.5218234723569433
119,2004-12-01,105.8,2.1235521235521304
120,2005-01-01,105.8,2.0250723240115676
121,2005-02-01,105.9,2.121504339440694
122,2005-03-01,106.2,2.4108003857280513
123,2005-04-01,106.4,2.3076923076923217
124,2005-05-01,106.3,1.5281757402101137
125,2005-06-01,106.6,1.717557251908386
126,2005-07-01,106.8,1.9083969465648831
127,2005-08-01,107.3,2.483285577841454
128,2005-09-01,108.3,3.3396946564885566
129,2005-10-01,108.1,2.756653992395419
130,2005-11-01,107.9,2.081362346263016
131,2005-12-01,108.0,2.07939508506616
132,2006-01-01,108.9,2.930056710775064
133,2006-02-01,108.5,2.455146364494798
134,2006-03-01,108.6,2.259887005649719
135,2006-04-01,109.1,2.537593984962405
136,2006-05-01,109.2,2.728127939793046
137,2006-06-01,109.1,2.345215759849917
138,2006-07-01,109.2,2.2471910112359605
139,2006-08-01,109.4,1.9571295433364444
140,2006-09-01,109.0,0.6463527239150446
141,2006-10-01,109.1,0.9250693802035137
142,2006-11-01,109.5,1.4828544949026856
143,2006-12-01,109.9,1.7592592592592604
144,2007-01-01,110.2,1.1937557392102782
145,2007-02-01,110.6,1.9354838709677358
146,2007-03-01,111.2,2.3941068139963217
147,2007-04-01,111.5,2.1998166819431786
148,2007-05-01,111.5,2.1062271062270987
149,2007-06-01,111.3,2.016498625114571
150,2007-07-01,111.4,2.0146520146520075
151,2007-08-01,111.3,1.7367458866544672
152,2007-09-01,111.7,2.477064220183478
153,2007-10-01,111.9,2.5664527956003713
154,2007-11-01,112.2,2.465753424657535
155,2007-12-01,112.6,2.456778889899902
156,2008-01-01,112.4,1.9963702359346636
157,2008-02-01,112.6,1.8083182640144635
158,2008-03-01,112.8,1.4388489208633004
159,2008-04-01,113.3,1.6143497757847403
160,2008-05-01,114.1,2.331838565022415
161,2008-06-01,114.9,3.234501347708907
162,2008-07-01,115.4,3.590664272890476
163,2008-08-01,115.4,3.6837376460018056
164,2008-09-01,115.5,3.401969561324969
165,2008-10-01,114.7,2.502234137622872
166,2008-11-01,114.3,1.8716577540106805
167,2008-12-01,113.9,1.1545293072824148
168,2009-01-01,113.7,1.1565836298932375
169,2009-02-01,114.1,1.3321492007104752
170,2009-03-01,114.0,1.0638297872340496
171,2009-04-01,113.7,0.3530450132391838
172,2009-05-01,114.2,0.08764241893077784
173,2009-06-01,114.7,-0.17406440382942145
174,2009-07-01,114.3,-0.953206239168114
175,2009-08-01,114.5,-0.7798960138648225
176,2009-09-01,114.6,-0.7792207792207795
177,2009-10-01,114.8,0.08718395815170421
178,2009-11-01,115.4,0.9623797025371861
179,2009-12-01,115.4,1.316944688323085
180,2010-01-01,115.8,1.846965699208436
181,2010-02-01,115.9,1.5775635407537347
182,2010-03-01,115.6,1.403508771929829
183,2010-04-01,115.6,1.6710642040457246
184,2010-05-01,115.7,1.3134851138353776
185,2010-06-01,116.0,1.1333914559720881
186,2010-07-01,116.6,2.012248468941369
187,2010-08-01,116.5,1.7467248908296984
188,2010-09-01,116.7,1.832460732984309
189,2010-10-01,117.4,2.2648083623693527
190,2010-11-01,117.7,1.9930675909878737
191,2010-12-01,118.2,2.4263431542461023
192,2011-01-01,118.4,2.2452504317789446
193,2011-02-01,118.3,2.070750647109576
194,2011-03-01,119.1,3.0276816608996615
195,2011-04-01,119.6,3.460207612456756
196,2011-05-01,120.0,3.7165082108902237
197,2011-06-01,119.6,3.103448275862064
198,2011-07-01,119.8,2.7444253859348233
199,2011-08-01,120.1,3.090128755364807
200,2011-09-01,120.5,3.2562125107112205
201,2011-10-01,120.9,2.9812606473594627
202,2011-11-01,121.0,2.8037383177569986
203,2011-12-01,120.8,2.1996615905245376
204,2012-01-01,121.5,2.6182432432432456
205,2012-02-01,121.4,2.6204564666103103
206,2012-03-01,121.5,2.015113350125941
207,2012-04-01,121.9,1.9230769230769384
208,2012-05-01,121.5,1.2499999999999956
209,2012-06-01,121.2,1.3377926421404673
210,2012-07-01,121.2,1.1686143572620988
211,2012-08-01,121.7,1.3322231473771984
212,2012-09-01,121.9,1.1618257261410747
213,2012-10-01,122.2,1.0752688172043001
214,2012-11-01,122.1,0.9090909090909038
215,2012-12-01,122.0,0.9933774834437026
216,2013-01-01,122.1,0.49382716049382047
217,2013-02-01,122.9,1.2355848434925765
218,2013-03-01,122.8,1.0699588477366184
219,2013-04-01,122.3,0.3281378178835004
220,2013-05-01,122.3,0.6584362139917754
221,2013-06-01,122.6,1.1551155115511413
222,2013-07-01,122.8,1.320132013201314
223,2013-08-01,122.9,0.9860312243221037
224,2013-09-01,123.1,0.9844134536505234
225,2013-10-01,123.0,0.6546644844517058
226,2013-11-01,123.2,0.9009009009009139
227,2013-12-01,123.6,1.3114754098360715
228,2014-01-01,123.9,1.4742014742014753
229,2014-02-01,124.3,1.1391375101708734
230,2014-03-01,124.5,1.3843648208469173
231,2014-04-01,125.0,2.2076860179885527
232,2014-05-01,125.1,2.289452166802941
233,2014-06-01,125.4,2.2838499184339334
234,2014-07-01,125.4,2.1172638436482094
235,2014-08-01,125.5,2.11554109031733
236,2014-09-01,125.7,2.1121039805036546
237,2014-10-01,125.9,2.357723577235782
238,2014-11-01,125.7,2.029220779220786
239,2014-12-01,125.5,1.53721682847896
240,2015-01-01,125.1,0.9685230024212954
241,2015-02-01,125.5,0.9654062751407899
242,2015-03-01,126.1,1.2851405622489986
243,2015-04-01,125.8,0.6399999999999961
244,2015-05-01,126.3,0.9592326139088669
245,2015-06-01,126.8,1.1164274322168932
246,2015-07-01,127.1,1.3556618819776656
247,2015-08-01,127.1,1.2749003984063645
248,2015-09-01,127.0,1.03420843277644
249,2015-10-01,127.2,1.0325655281969714
250,2015-11-01,127.3,1.2728719172633296
251,2015-12-01,127.4,1.5139442231075773
252,2016-01-01,127.5,1.918465227817756
253,2016-02-01,127.3,1.4342629482071656
254,2016-03-01,127.7,1.2688342585249979
255,2016-04-01,127.9,1.6693163751987372
256,2016-05-01,128.3,1.5835312747426888
257,2016-06-01,128.6,1.4195583596214423
258,2016-07-01,128.5,1.1014948859165985
259,2016-08-01,128.6,1.1801730920534936
260,2016-09-01,128.8,1.4173228346456845
261,2016-10-01,129.1,1.4937106918238907
262,2016-11-01,128.9,1.256873527101332
263,2016-12-01,129.3,1.491365777080067
264,2017-01-01,130.1,2.039215686274498
265,2017-02-01,129.9,2.04241948153967
266,2017-03-01,129.7,1.566170712607673
267,2017-04-01,130.1,1.7200938232994512
268,2017-05-01,129.9,1.247077162899446
269,2017-06-01,129.9,1.010886469673422
270,2017-07-01,130.1,1.2451361867704236
271,2017-08-01,130.4,1.3996889580093486
272,2017-09-01,130.7,1.475155279503082
273,2017-10-01,130.9,1.3942680092951187
274,2017-11-01,131.7,2.172226532195487
275,2017-12-01,131.8,1.933488012374318
276,2018-01-01,132.3,1.6910069177555886
277,2018-02-01,132.6,2.0785219399537924
278,2018-03-01,132.7,2.313030069390898
279,2018-04-01,132.8,2.0753266717909336
280,2018-05-01,132.9,2.3094688221708903
281,2018-06-01,133.1,2.4634334103156075
282,2018-07-01,133.7,2.7671022290545633
283,2018-08-01,133.9,2.6840490797545913
284,2018-09-01,133.8,2.371843917368044
285,2018-10-01,134.2,2.5210084033613356
286,2018-11-01,134.0,1.7463933181473212
287,2018-12-01,134.3,1.896813353566018
288,2019-01-01,134.3,1.5117157974300799
289,2019-02-01,134.7,1.5837104072398134
290,2019-03-01,135.2,1.8839487565938118
291,2019-04-01,135.6,2.108433734939741
292,2019-05-01,136.0,2.332580887885616
293,2019-06-01,135.9,2.103681442524419
294,2019-07-01,136.4,2.0194465220643387
295,2019-08-01,136.4,1.8670649738610878
296,2019-09-01,136.3,1.86846038863977
297,2019-10-01,136.7,1.8628912071535053
298,2019-11-01,136.8,2.0895522388059806
299,2019-12-01,137.3,2.2338049143708183
300,2020-01-01,137.5,2.3827252419955203
301,2020-02-01,137.7,2.2271714922049046
302,2020-03-01,136.3,0.8136094674556338
303,2020-04-01,135.6,0.0
304,2020-05-01,135.4,-0.4411764705882337
305,2020-06-01,136.5,0.44150110375276164
306,2020-07-01,136.5,0.07331378299120228
307,2020-08-01,136.8,0.2932551319648091
308,2020-09-01,137.1,0.5869405722670473
309,2020-10-01,137.5,0.585223116313105
310,2020-11-01,138.0,0.8771929824561209
311,2020-12-01,138.5,0.8739985433357633
312,2021-01-01,139.1,1.1636363636363667
313,2021-02-01,139.4,1.2345679012345734
314,2021-03-01,139.5,2.3477622890682337
315,2021-04-01,139.9,3.1710914454277317
316,2021-05-01,140.3,3.6189069423929077
317,2021-06-01,140.7,3.076923076923066
318,2021-07-01,141.4,3.589743589743599
319,2021-08-01,142.3,4.020467836257313
320,2021-09-01,143.1,4.37636761487965
321,2021-10-01,143.9,4.654545454545467
322,2021-11-01,144.5,4.710144927536231
323,2021-12-01,145.2,4.837545126353793
324,2022-01-01,146.3,5.17613227893603
325,2022-02-01,147.3,5.667144906743182
326,2022-03-01,148.9,6.7383512544803015
327,2022-04-01,149.4,6.790564689063627
328,2022-05-01,151.2,7.769066286528847
329,2022-06-01,152.1,8.102345415778256
330,2022-07-01,152.3,7.708628005657703
331,2022-08-01,152.2,6.957132817990153
332,2022-09-01,152.8,6.778476589797355
333,2022-10-01,153.8,6.879777623349548
334,2022-11-01,154.3,6.78200692041524
335,2022-12-01,154.3,6.267217630854005
336,2023-01-01,154.9,5.87833219412166
337,2023-02-01,155.1,5.295315682281054
338,2023-03-01,155.4,4.3653458697112235
339,2023-04-01,156.0,4.417670682730912
340,2023-05-01,156.2,3.3068783068783025
341,2023-06-01,156.4,2.827087442472065
342,2023-07-01,157.3,3.282994090610636
343,2023-08-01,158.3,4.0078843626806915
344,2023-09-01,158.6,3.795811518324599
345,2023-10-01,158.6,3.1209362808842567
346,2023-11-01,159.0,3.046014257939067
347,2023-12-01,159.5,3.3700583279326013
348,2024-01-01,159.3,2.840542285345382
349,2024-02-01,159.5,2.8368794326241176
350,2024-03-01,159.9,2.895752895752901
351,2024-04-01,160.2,2.6923076923076827
352,2024-05-01,160.6,2.8169014084507005
353,2024-06-01,160.8,2.813299232736566
354,2024-07-01,161.2,2.4793388429751984
355,2024-08-01,161.3,1.8951358180669509
356,2024-09-01,161.3,1.7023959646910614
357,2024-10-01,161.8,2.0176544766708826
358,2024-11-01,162.0,1.8867924528301883
