date,GDP
2019-03-31,134.5
2019-06-30,136.29999999999998
2019-09-30,136.66666666666666
2019-12-31,136.46666666666667
2020-03-31,136.93333333333334
2020-06-30,136.33333333333334
2020-09-30,137.03333333333333
2020-12-31,137.53333333333333
2021-03-31,138.9
2021-06-30,140.9
2021-09-30,142.6
2021-12-31,144.03333333333333
2022-03-31,147.0
2022-06-30,151.53333333333333
2022-09-30,152.79999999999998
2022-12-31,153.63333333333333
2023-03-31,154.5666666666667
2023-06-30,156.86666666666667
2023-09-30,158.4333333333333
2023-12-31,158.5666666666667
2024-03-31,158.96666666666667
2024-06-30,161.16666666666666
2024-09-30,161.66666666666666
2024-12-31,161.8
