Adj Close,Close,High,Low,Open,Volume,Quarter
^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,
15543.23646763393,15543.23646763393,15592.530102926587,15491.239645337302,15545.204737103175,221788193.65079364,2017-03-31
15471.547619047618,15471.547619047618,15533.03334263393,15417.012633308532,15484.139632936507,214776561.9047619,2017-06-30
15179.953235257057,15179.953235257057,15220.996755292339,15130.304797757057,15178.427403603831,166077891.93548387,2017-09-30
15980.974136844758,15980.974136844758,16016.625819052419,15948.711236769153,15979.564500378025,175368029.03225806,2017-12-31
15749.588741179436,15749.588741179436,15819.369345388104,15688.175812752017,15765.629032258064,216281946.77419356,2018-03-31
15867.562469482422,15867.562469482422,15914.568801879883,15816.678176879883,15863.679656982422,203253626.5625,2018-06-30
16302.9644499748,16302.9644499748,16355.675844254032,16257.777391003025,16312.332236013104,204426140.32258064,2018-09-30
15067.668232266866,15067.668232266866,15165.292054191468,15001.626999627977,15104.722237723214,269383253.96825397,2018-12-31
15639.116084929436,15639.116084929436,15674.414503528225,15573.011277721775,15619.07902280746,252175345.16129032,2019-03-31
16369.842959449405,16369.842959449405,16402.21117001488,16318.022290426587,16361.13806733631,213879396.82539684,2019-06-30
16477.781001984127,16477.781001984127,16525.80949280754,16425.650886656746,16474.771453373014,198408466.66666666,2019-09-30
16773.249178447422,16773.249178447422,16811.94439794147,16730.20627170139,16772.77615017361,198883677.7777778,2019-12-31
16164.633401537698,16164.633401537698,16314.591967385913,16008.165101066468,16178.412729414682,327410998.4126984,2020-03-31
14827.89048549107,14827.89048549107,14937.773018973214,14702.32384672619,14834.684089781746,329772858.73015875,2020-06-30
16243.638113839286,16243.638113839286,16322.233305431548,16157.296766493055,16255.280893477182,209793658.73015872,2020-09-30
16830.425533234127,16830.425533234127,16898.415845114087,16753.757176959327,16833.660326760913,243160185.7142857,2020-12-31
18266.14998109879,18266.14998109879,18336.4451234879,18166.946824596773,18265.003276209678,271398174.1935484,2021-03-31
19584.54132564484,19584.54132564484,19642.588913690477,19516.927021329364,19583.723896329364,222895087.3015873,2021-06-30
20379.615885416668,20379.615885416668,20440.742838541668,20320.741071428572,20387.315786210318,193586061.9047619,2021-09-30
21055.209480406746,21055.209480406746,21138.379340277777,20966.133432539682,21051.674696180555,233381690.47619048,2021-12-31
21314.254851310485,21314.254851310485,21420.858083417337,21179.199880292337,21299.09683719758,291234722.58064514,2022-03-31
20548.30003720238,20548.30003720238,20699.868210565477,20421.358754960318,20594.796750992064,275407119.04761904,2022-06-30
19331.222222222223,19331.222222222223,19436.003131200396,19216.14136904762,19329.550750248014,247223533.33333334,2022-09-30
19527.898374495966,19527.898374495966,19643.669449344758,19415.26783014113,19526.46459173387,253207770.96774194,2022-12-31
20191.457124255954,20191.457124255954,20272.26336185516,20080.914403521827,20175.668309771827,261096312.6984127,2023-03-31
20184.979228670636,20184.979228670636,20254.917410714286,20108.180989583332,20183.1841827877,213385768.25396827,2023-06-30
20148.7742250504,20148.7742250504,20232.717710433466,20081.454952116936,20160.014679939515,203732511.29032257,2023-09-30
19875.453251008064,19875.453251008064,19964.241872479837,19777.3662109375,19858.461158014114,212013879.03225806,2023-12-31
21302.032195060485,21302.032195060485,21367.787140877015,21211.83700856855,21279.422536542337,215134019.3548387,2024-03-31
22015.726593017578,22015.726593017578,22102.423370361328,21918.21875,22016.42510986328,231166742.1875,2024-06-30
22958.823722718254,22958.823722718254,23045.61746651786,22843.02839781746,22935.063368055555,235668546.03174603,2024-09-30
24844.63851436492,24844.63851436492,24923.667118195564,24734.469443044356,24829.115517893144,233396006.61290324,2024-12-31
